id,price
0,440.274
1,1943.926
2,9725.151
3,504.188
4,9788.567
5,2279.5116666666668
6,1052.0949904761906
7,10348.974
8,958.204
9,471.835
10,10506.545
11,13717.222
12,4104.222
13,4012.449
14,3198.383
15,608.889
16,17050.569
17,3202.274
18,2880.737
19,8437.085123809524
20,8490.022
21,16449.707
22,4641.481
23,5255.986
24,2871.857
25,7239.253
26,6842.407
27,985.485
28,889.591
29,4652.524
30,9400.292
31,516.9454999999999
32,5163.313
33,1740.989
34,1869.169
35,694.02
36,1687.151
37,7385.487
38,4142.101
39,16142.854
40,1874.8546666666666
41,928.686
42,611.043
43,890.582
44,672.948
45,8116.385
46,16279.447
47,10773.546
48,552.197
49,674.818
50,10550.6615
51,3362.19
52,2519.3614
53,3730.312
54,5038.582
55,2066.086
56,4724.306
57,1058.79
58,10341.992
59,836.322
60,5201.79
61,4620.972
62,825.221
63,3629.213
64,5369.354
65,6419.363
66,10390.36
67,2088.339
68,8447.168
69,4766.052
70,8899.206
71,7174.513
72,4973.291016666668
73,4579.764
74,1482.844
75,3117.149
76,4284.379
77,4352.661
78,443.922
79,1022.761
80,1001.706
81,2139.235
82,521.605
83,3803.124
84,3162.408
85,5514.743
86,3471.015
87,2153.837
88,1215.181
89,3190.495
90,1509.174
91,664.781
92,518.919
93,8257.34
94,675.894
95,805.273
96,4321.844
97,5454.425
98,2814.682
99,5438.179
100,2290.39
101,3912.003
102,10832.888
103,764.325
104,4776.23
105,825.505
106,507.212
107,7669.326
108,753.567
109,3463.255
110,972.743
111,4937.77
112,941.0
113,762.594
114,1462.533
115,410.237
116,691.662
117,636.008
118,4648.167
119,1891.028
120,1418.954
121,1014.507
122,876.023
123,14650.083
124,596.764
125,499.587
126,3523.804
127,4454.387
128,1222.056
129,10832.6465
130,740.573
131,13480.841
132,9661.821
133,894.91
134,2686.895
135,1701.369
136,4899.34
137,1504.887
138,3556.587
139,1323.925
140,678.768
141,5127.492
142,705.355
143,496.218
144,5257.546
145,1229.658
146,6539.41
147,8549.863
148,4529.272
149,17241.783
150,4227.302
151,3242.133
152,3038.332
153,693.5
154,14032.828
155,5078.413
156,532.351
157,876.712
158,1829.139
159,906.295
160,605.259
161,3136.79
162,11447.789
163,1399.156
164,6699.202
165,11317.708
166,4301.376
167,2948.29
168,425.828
169,834.834
170,425.18
171,3887.893
172,950.453
173,929.344
174,1205.574
175,3045.636
176,1891.146
177,10331.396
178,538.016
179,4667.474
180,472.486
181,1699.611
182,9530.7504
183,767.22
184,16374.112
185,4860.95
186,2643.657
187,2675.076
188,777.8
189,8255.459
190,6716.5
191,2804.379
192,7541.595
193,2294.473
194,920.8
195,3543.03425
196,556.906
197,3505.888
198,411.967
199,792.133
200,4360.259
201,6456.405
202,4960.241
203,11936.162
204,1825.034
205,895.648
206,988.631
207,702.31
208,2752.705
209,1410.932
210,1456.213
211,2431.432
212,2329.797
213,1644.783
214,1386.766
215,3444.174
216,806.465
217,554.921
218,1192.853
219,2874.412
220,1746.144
221,4562.87
222,3115.343
223,572.837
224,2974.275
225,1930.123
226,747.186
227,799.37
228,5740.215
229,2632.291
230,1944.32
231,14833.137
232,5721.794
233,984.956
234,1342.443
235,3579.2085
236,14609.419
237,4453.276
238,1066.297
239,914.204
240,4577.63
241,3512.198
242,4081.483
243,9902.743
244,16897.379
245,5697.967
246,2222.327
247,2041.358
248,1031.464
249,960.1146888888891
250,2649.716
251,3412.194
252,1876.855
253,3291.186
254,890.644
255,1651.789
256,621.875
